rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1501819432309693916,,0,,1499216208,544097900,gps,,2,0,27.3856818838,-82.5593177527,-15.6012596958,"[2.8590754589830785, 5.604465239250622e-05, 0.0, 5.604465239250622e-05, 2.859330785848538, 0.0, 0.0, 0.0, 9.039295059935892e-07]",3
1501819432339267991,,1,,1499216208,634429932,gps,,2,0,27.3856819182,-82.5593177841,-15.6012596958,"[2.8458030300833883, 6.079676513515153e-05, 0.0, 6.079676513515153e-05, 2.846040606419883, 0.0, 0.0, 0.0, 9.89159204523644e-07]",3
1501819432382626216,,2,,1499216208,634429932,gps,,2,0,27.3856819182,-82.5593177841,-15.6012596958,"[2.8458030300833883, 6.079676513515153e-05, 0.0, 6.079676513515153e-05, 2.846040606419883, 0.0, 0.0, 0.0, 9.89159204523644e-07]",3
1501819432410178665,,3,,1499216208,740790606,gps,,2,0,27.3856819632,-82.559317826,-15.6012596958,"[2.952500527625705, 0.00010523673686790858, 0.0, 0.00010523673686768653, 2.952725417857399, 0.0, 0.0, 0.0, 6.211801248765534e-07]",3
1501819432440914565,,4,,1499216208,740790606,gps,,2,0,27.3856819632,-82.559317826,-15.6012596958,"[2.952500527625705, 0.00010523673686790858, 0.0, 0.00010523673686768653, 2.952725417857399, 0.0, 0.0, 0.0, 6.211801248765534e-07]",3
1501819432470525096,,5,,1499216208,740790606,gps,,2,0,27.3856819632,-82.559317826,-15.6012596958,"[2.952500527625705, 0.00010523673686790858, 0.0, 0.00010523673686768653, 2.952725417857399, 0.0, 0.0, 0.0, 6.211801248765534e-07]",3
1501819432513780891,,6,,1499216208,842980862,gps,,2,0,27.3856820056,-82.5593178654,-15.6012596958,"[3.0547193950590685, 0.0001163866008722092, 0.0, 0.00011638660087198716, 3.0549472188560016, 0.0, 0.0, 0.0, 9.903681178175553e-07]",3
1501819432543563295,,7,,1499216208,842980862,gps,,2,0,27.3856820056,-82.5593178654,-15.6012596958,"[3.0547193950590685, 0.0001163866008722092, 0.0, 0.00011638660087198716, 3.0549472188560016, 0.0, 0.0, 0.0, 9.903681178175553e-07]",3
1501819432574567979,,8,,1499216208,842980862,gps,,2,0,27.3856820056,-82.5593178654,-15.6012596958,"[3.0547193950590685, 0.0001163866008722092, 0.0, 0.00011638660087198716, 3.0549472188560016, 0.0, 0.0, 0.0, 9.903681178175553e-07]",3
1501819432606380902,,9,,1499216208,944949150,gps,,2,0,27.3856820485,-82.5593179048,-15.6012596958,"[3.156716178994775, 0.00013228732483461236, 0.0, 0.00013228732483461236, 3.1569409158356123, 0.0, 0.0, 0.0, 9.903817595293497e-07]",3
