rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1501804813944869525,,0,,1499216208,624030590,gps,,2,0,27.3856819167,-82.5593177832,-15.6012596958,"[0.0770107340145654, 0.00017328151326661406, 0.0, 0.00017328151326661406, 0.0772166240248694, 0.0, 0.0, 0.0, 9.889304978230902e-07]",3
1501804813985973109,,1,,1499216208,624030590,gps,,2,0,27.3856819167,-82.5593177832,-15.6012596958,"[0.0770107340145654, 0.00017328151326661406, 0.0, 0.00017328151326661406, 0.0772166240248694, 0.0, 0.0, 0.0, 9.889304978230902e-07]",3
1501804814015460624,,2,,1499216208,624030590,gps,,2,0,27.3856819167,-82.5593177832,-15.6012596958,"[0.0770107340145654, 0.00017328151326661406, 0.0, 0.00017328151326661406, 0.0772166240248694, 0.0, 0.0, 0.0, 9.889304978230902e-07]",3
1501804814047428970,,3,,1499216208,739483118,gps,,2,0,27.3856819742,-82.5593178357,-15.6012596958,"[0.07716161481105589, 0.00019175811470608511, 0.0, 0.00019175811470608511, 0.07736581083652196, 0.0, 0.0, 0.0, 3.3238194370775984e-07]",3
1501804814078368710,,4,,1499216208,739483118,gps,,2,0,27.3856819742,-82.5593178357,-15.6012596958,"[0.07716161481105589, 0.00019175811470608511, 0.0, 0.00019175811470608511, 0.07736581083652196, 0.0, 0.0, 0.0, 3.3238194370775984e-07]",3
1501804814120659959,,5,,1499216208,739483118,gps,,2,0,27.3856819742,-82.5593178357,-15.6012596958,"[0.07716161481105589, 0.00019175811470608511, 0.0, 0.00019175811470608511, 0.07736581083652196, 0.0, 0.0, 0.0, 3.3238194370775984e-07]",3
1501804814150590136,,6,,1499216208,820338249,gps,,2,0,27.3856819996,-82.5593178597,-15.6012596958,"[0.07746361502130307, 0.00023700100219319065, 0.0, 0.00023700100219319065, 0.07765254014626752, 0.0, 0.0, 0.0, 9.878330361034973e-07]",3
1501804814182444472,,7,,1499216208,820338249,gps,,2,0,27.3856819996,-82.5593178597,-15.6012596958,"[0.07746361502130307, 0.00023700100219319065, 0.0, 0.00023700100219319065, 0.07765254014626752, 0.0, 0.0, 0.0, 9.878330361034973e-07]",3
1501804814248874237,,8,,1499216208,975320101,gps,,2,0,27.3856820545,-82.5593179105,-15.6012596958,"[0.07766045410046248, 0.00025665875351976036, 0.0, 0.00025665875351976036, 0.07784940482876374, 0.0, 0.0, 0.0, 3.3126632402681424e-07]",3
1501804814318697606,,9,,1499216208,975320101,gps,,2,0,27.3856820545,-82.5593179105,-15.6012596958,"[0.07766045410046248, 0.00025665875351976036, 0.0, 0.00025665875351976036, 0.07784940482876374, 0.0, 0.0, 0.0, 3.3126632402681424e-07]",3
1501804814349434332,,10,,1499216208,975320101,gps,,2,0,27.3856820545,-82.5593179105,-15.6012596958,"[0.07766045410046248, 0.00025665875351976036, 0.0, 0.00025665875351976036, 0.07784940482876374, 0.0, 0.0, 0.0, 3.3126632402681424e-07]",3
1501804814378177397,,11,,1499216209,77365875,gps,,2,0,27.3856821438,-82.559317993,-15.6012596958,"[0.07810101044770755, 0.0002962663602695051, 0.0, 0.00029626636026951203, 0.07828126799204932, 0.0, 0.0, 0.0, 0.00010238057546019702]",3
